LoanRange, LoanAmount , BusinessName ,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
"g $50,000-$100,000"," $56,332 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,10,4/27/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $56,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,722513,Subchapter S Corporation,White,Unanswered,Unanswered,,24,4/6/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $56,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,722511,Corporation,Unanswered,Male Owned,Non-Veteran,,15,4/6/20,Bank of the Rockies,MT - 00
"g $50,000-$100,000"," $56,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59719,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,4/7/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $56,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,621399,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4,4/8/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $55,900 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4/27/20,American Bank,MT - 00
"g $50,000-$100,000"," $55,800 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,445310,Subchapter S Corporation,White,Male Owned,Non-Veteran,,18,4/4/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $55,700 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,811113,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,4/4/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $55,547 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,447110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,12,4/28/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $55,500 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,236118,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,4/10/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $55,400 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,561110,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,10,4/10/20,The Yellowstone Bank,MT - 00
"g $50,000-$100,000"," $55,313 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,236115,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,4/16/20,"U.S. Bank, National Association",MT - 00
"g $50,000-$100,000"," $55,300 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,323113,Corporation,Unanswered,Male Owned,Unanswered,,9,5/4/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $55,292 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,541990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,5/3/20,"U.S. Bank, National Association",MT - 00
"g $50,000-$100,000"," $55,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,811198,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,4/14/20,American Bank,MT - 00
"g $50,000-$100,000"," $55,000 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,332813,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,5,4/11/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $55,000 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,445299,Corporation,Unanswered,Unanswered,Unanswered,,9,4/5/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $54,876 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,713940,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,7,4/10/20,Manhattan Bank,MT - 00
"g $50,000-$100,000"," $54,700 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,999990,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,17,4/5/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $54,635 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,722511,Subchapter S Corporation,Asian,Male Owned,Non-Veteran,,17,4/15/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $54,538 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,621320,Corporation,Unanswered,Unanswered,Unanswered,,7,4/5/20,Stearns Bank National Association,MT - 00
"g $50,000-$100,000"," $54,451 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,541310,Corporation,Unanswered,Male Owned,Non-Veteran,,0,4/29/20,"Wells Fargo Bank, National Association",MT - 00
"g $50,000-$100,000"," $54,400 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,515112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,4/6/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $54,380 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,5/3/20,KeyBank National Association,MT - 00
"g $50,000-$100,000"," $54,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,813219,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,4,4/4/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $54,100 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,532284,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,4/7/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $54,000 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,4/13/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $53,900 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,423840,Corporation,Unanswered,Unanswered,Unanswered,,30,4/8/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $53,800 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,442110,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,8,4/10/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $53,798 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,236118,Corporation,Unanswered,Unanswered,Unanswered,,0,4/30/20,"Wells Fargo Bank, National Association",MT - 00
"g $50,000-$100,000"," $53,668 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,238110,Corporation,Unanswered,Unanswered,Unanswered,,7,4/30/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $53,600 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,4/14/20,American Bank,MT - 00
"g $50,000-$100,000"," $53,500 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,236115,Corporation,Unanswered,Unanswered,Unanswered,,5,4/14/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $53,350 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,443142,Subchapter S Corporation,White,Female Owned,Unanswered,,4,4/8/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $53,300 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,561110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,6,4/7/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $53,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,722513,Corporation,White,Female Owned,Non-Veteran,,14,4/6/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $53,125 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,561421,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,4/15/20,Truxton Trust Company,MT - 00
"g $50,000-$100,000"," $53,000 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,13,4/11/20,American Bank,MT - 00
"g $50,000-$100,000"," $52,800 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,113310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,4/5/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $52,513 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,621210,Corporation,Unanswered,Unanswered,Unanswered,,7,4/7/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $52,440 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,621420,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4/14/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $52,400 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,442110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4/14/20,Bank of Idaho,MT - 00
"g $50,000-$100,000"," $52,300 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,811191,Corporation,Unanswered,Male Owned,Unanswered,,4,4/13/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $52,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,541310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,4/5/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $52,118 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,722410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,14,4/15/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $52,000 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,332710,Corporation,Unanswered,Unanswered,Unanswered,,7,4/6/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $51,500 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,999990,Corporation,White,Male Owned,Non-Veteran,,6,5/6/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $51,467 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,238210,Corporation,Unanswered,Unanswered,Unanswered,,10,6/26/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $51,455 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,512110,Corporation,Unanswered,Unanswered,Unanswered,,4,4/28/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $51,400 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,541110,Partnership,Hispanic,Male Owned,Veteran,,3,4/27/20,American Bank,MT - 00
"g $50,000-$100,000"," $51,400 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,423220,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,4,4/4/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $51,362 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,523930,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,4/15/20,"U.S. Bank, National Association",MT - 00
"g $50,000-$100,000"," $51,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,722310,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,8,4/4/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $51,167 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,541310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,5/3/20,"U.S. Bank, National Association",MT - 00
"g $50,000-$100,000"," $50,950 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,621493,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,4/15/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $50,900 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,312140,Corporation,Unanswered,Unanswered,Unanswered,,10,4/9/20,Manhattan Bank,MT - 00
"g $50,000-$100,000"," $50,827 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,485999,Corporation,White,Unanswered,Unanswered,,6,4/28/20,"Farmers State Bank of Alto Pass, Illinois",MT - 00
"g $50,000-$100,000"," $50,600 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,541512,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,4/5/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $50,600 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,532289,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,4/8/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $50,407 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,522220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4,4/27/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $50,350 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,611710,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,10,4/27/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $50,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,236115,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2,4/15/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $50,200 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,541320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,4/14/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $50,149 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,561740,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,5/4/20,"U.S. Bank, National Association",MT - 00
"g $50,000-$100,000"," $50,100 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,561790,Corporation,Unanswered,Unanswered,Unanswered,,7,4/12/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $50,000 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,425110,Corporation,Unanswered,Male Owned,Unanswered,,13,4/15/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $50,000 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,111421,Corporation,Unanswered,Unanswered,Unanswered,,90,4/27/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $50,000 ", undisclosed , undisclosed ,BOZEMAN,MT,59715,423990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2,4/28/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $50,000 ", undisclosed , undisclosed ,BOZEMAN,MT,59718,621340,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,12,4/15/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $53,300 ", undisclosed , undisclosed ,"BOZEMAN, MT",MT,59771,531311,Subchapter S Corporation,White,Male Owned,Unanswered,,5,4/27/20,Bank of Montana,MT - 00
"g $50,000-$100,000"," $51,700 ", undisclosed , undisclosed ,BRADY,MT,59416,541330,Corporation,Unanswered,Female Owned,Unanswered,,4,4/3/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $96,100 ", undisclosed , undisclosed ,BRIDGER,MT,59014,445110,Corporation,Unanswered,Unanswered,Unanswered,,15,4/14/20,"Bank of Bridger, National Association",MT - 00
"g $50,000-$100,000"," $64,500 ", undisclosed , undisclosed ,BRIDGER,MT,59014,441310,Subchapter S Corporation,White,Female Owned,Non-Veteran,,8,4/3/20,The Yellowstone Bank,MT - 00
"g $50,000-$100,000"," $78,597 ", undisclosed , undisclosed ,BROADUS,MT,59317,541940,Corporation,Unanswered,Unanswered,Unanswered,,7,4/13/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $64,736 ", undisclosed , undisclosed ,BROADUS,MT,59317,423120,Corporation,Unanswered,Unanswered,Unanswered,,12,4/11/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $53,655 ", undisclosed , undisclosed ,BROADUS,MT,59317,444130,Corporation,Unanswered,Male Owned,Non-Veteran,,7,4/6/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $79,382 ", undisclosed , undisclosed ,BROWNING,MT,59417,221310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4/15/20,"Native American Bank, National Association",MT - 00
"g $50,000-$100,000"," $63,540 ", undisclosed , undisclosed ,BROWNING,MT,59417,721211,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,40,4/14/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $61,700 ", undisclosed , undisclosed ,BROWNING,MT,59417,448140,Corporation,Unanswered,Unanswered,Unanswered,,7,4/6/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $60,355 ", undisclosed , undisclosed ,BROWNING,MT,59417,611630,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,7,4/27/20,First Interstate Bank,MT - 00
"g $50,000-$100,000"," $60,000 ", undisclosed , undisclosed ,BROWNING,MT,59417,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,10,4/15/20,"Native American Bank, National Association",MT - 00
"g $50,000-$100,000"," $65,000 ", undisclosed , undisclosed ,BUSBY,MT,59016,922130,Limited  Liability Company(LLC),American Indian or Alaska Native,Male Owned,Unanswered,,3,4/29/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $99,667 ", undisclosed , undisclosed ,BUTTE,MT,59701,332312,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,5/12/20,"Wells Fargo Bank, National Association",MT - 00
"g $50,000-$100,000"," $99,400 ", undisclosed , undisclosed ,BUTTE,MT,59701,238210,Corporation,Unanswered,Unanswered,Unanswered,,11,4/10/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $98,900 ", undisclosed , undisclosed ,BUTTE,MT,59701,332313,Corporation,Unanswered,Male Owned,Non-Veteran,,17,4/9/20,First Citizens Bank of Butte,MT - 00
"g $50,000-$100,000"," $98,000 ", undisclosed , undisclosed ,BUTTE,MT,59701,812910,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,20,4/6/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $97,616 ", undisclosed , undisclosed ,BUTTE,MT,59701,722511,Subchapter S Corporation,White,Male Owned,Non-Veteran,,29,4/6/20,First Security Bank of Deer Lodge,MT - 00
"g $50,000-$100,000"," $96,400 ", undisclosed , undisclosed ,BUTTE,MT,59701,811121,Corporation,White,Male Owned,Non-Veteran,,11,4/9/20,First Citizens Bank of Butte,MT - 00
"g $50,000-$100,000"," $96,300 ", undisclosed , undisclosed ,BUTTE,MT,59701,237310,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,5,4/7/20,"Bank of Bridger, National Association",MT - 00
"g $50,000-$100,000"," $95,638 ", undisclosed , undisclosed ,BUTTE,MT,59701,624221,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,15,6/22/20,Montana Community Development Corp.,MT - 00
"g $50,000-$100,000"," $93,500 ", undisclosed , undisclosed ,BUTTE,MT,59701,238910,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,7,4/8/20,"Granite Mountain Bank, Inc.",MT - 00
"g $50,000-$100,000"," $90,000 ", undisclosed , undisclosed ,BUTTE,MT,59701,541330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,4/6/20,"Granite Mountain Bank, Inc.",MT - 00
"g $50,000-$100,000"," $88,750 ", undisclosed , undisclosed ,BUTTE,MT,59701,453998,Subchapter S Corporation,White,Male Owned,Unanswered,,8,4/10/20,"Granite Mountain Bank, Inc.",MT - 00
"g $50,000-$100,000"," $87,200 ", undisclosed , undisclosed ,BUTTE,MT,59701,722410,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,18,4/6/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $87,000 ", undisclosed , undisclosed ,BUTTE,MT,59701,236115,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,10,4/9/20,"Granite Mountain Bank, Inc.",MT - 00
"g $50,000-$100,000"," $86,200 ", undisclosed , undisclosed ,BUTTE,MT,59701,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/6/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $85,400 ", undisclosed , undisclosed ,BUTTE,MT,59701,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,14,4/11/20,Greater Nevada CU,MT - 00
"g $50,000-$100,000"," $85,100 ", undisclosed , undisclosed ,BUTTE,MT,59701,237310,Corporation,White,Male Owned,Non-Veteran,,12,4/4/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $83,900 ", undisclosed , undisclosed ,BUTTE,MT,59701,624410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,6/15/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $83,700 ", undisclosed , undisclosed ,BUTTE,MT,59701,238210,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,5,4/6/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $83,400 ", undisclosed , undisclosed ,BUTTE,MT,59701,624120,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,11,4/28/20,Bank of Idaho,MT - 00
"g $50,000-$100,000"," $83,100 ", undisclosed , undisclosed ,BUTTE,MT,59701,424690,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,4/10/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $80,400 ", undisclosed , undisclosed ,BUTTE,MT,59701,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,4/4/20,TrailWest Bank,MT - 00
"g $50,000-$100,000"," $80,300 ", undisclosed , undisclosed ,BUTTE,MT,59701,722410,Corporation,Unanswered,Unanswered,Unanswered,,9,4/29/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $80,000 ", undisclosed , undisclosed ,BUTTE,MT,59701,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,32,4/27/20,"Granite Mountain Bank, Inc.",MT - 00
"g $50,000-$100,000"," $79,700 ", undisclosed , undisclosed ,BUTTE,MT,59701,722511,Corporation,Unanswered,Unanswered,Unanswered,,25,4/28/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $79,250 ", undisclosed , undisclosed ,BUTTE,MT,59701,237310,Corporation,White,Male Owned,Non-Veteran,,6,4/13/20,"Granite Mountain Bank, Inc.",MT - 00
"g $50,000-$100,000"," $79,000 ", undisclosed , undisclosed ,BUTTE,MT,59701,722513,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,20,4/7/20,"Granite Mountain Bank, Inc.",MT - 00
"g $50,000-$100,000"," $77,500 ", undisclosed , undisclosed ,BUTTE,MT,59701,621210,Corporation,Asian,Male Owned,Non-Veteran,,12,4/4/20,First Citizens Bank of Butte,MT - 00
"g $50,000-$100,000"," $76,300 ", undisclosed , undisclosed ,BUTTE,MT,59701,453210,Corporation,Unanswered,Male Owned,Veteran,,0,4/9/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $75,919 ", undisclosed , undisclosed ,BUTTE,MT,59701,541511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6,4/15/20,"U.S. Bank, National Association",MT - 00
"g $50,000-$100,000"," $75,100 ", undisclosed , undisclosed ,BUTTE,MT,59701,621340,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,4/4/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $74,500 ", undisclosed , undisclosed ,BUTTE,MT,59701,333132,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/6/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $74,000 ", undisclosed , undisclosed ,BUTTE,MT,59701,238910,Corporation,Hispanic,Male Owned,Non-Veteran,,3,4/9/20,First Citizens Bank of Butte,MT - 00
"g $50,000-$100,000"," $73,669 ", undisclosed , undisclosed ,BUTTE,MT,59701,112111,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,6,4/6/20,First Security Bank of Deer Lodge,MT - 00
"g $50,000-$100,000"," $73,000 ", undisclosed , undisclosed ,BUTTE,MT,59701,721110,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,14,4/4/20,Stockman Bank of Montana,MT - 00
"g $50,000-$100,000"," $72,900 ", undisclosed , undisclosed ,BUTTE,MT,59701,621111,Sole Proprietorship,White,Male Owned,Non-Veteran,,7,4/4/20,First Citizens Bank of Butte,MT - 00
"g $50,000-$100,000"," $72,800 ", undisclosed , undisclosed ,BUTTE,MT,59701,621210,Professional Association,White,Male Owned,Veteran,,8,4/4/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $72,100 ", undisclosed , undisclosed ,BUTTE,MT,59701,561730,Corporation,White,Male Owned,Non-Veteran,,19,4/8/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $71,100 ", undisclosed , undisclosed ,BUTTE,MT,59701,453310,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,13,4/28/20,D. L. Evans Bank,MT - 00
"g $50,000-$100,000"," $70,900 ", undisclosed , undisclosed ,BUTTE,MT,59701,541890,Corporation,White,Male Owned,Non-Veteran,,14,4/28/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $70,100 ", undisclosed , undisclosed ,BUTTE,MT,59701,621210,Partnership,Unanswered,Unanswered,Unanswered,,,4/15/20,Glacier Bank,MT - 00
"g $50,000-$100,000"," $70,000 ", undisclosed , undisclosed ,BUTTE,MT,59701,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5,5/27/20,Ascent Bank,MT - 00
"g $50,000-$100,000"," $69,200 ", undisclosed , undisclosed ,BUTTE,MT,59701,238160,Corporation,White,Male Owned,Non-Veteran,,8,4/6/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $68,100 ", undisclosed , undisclosed ,BUTTE,MT,59701,236220,Corporation,White,Male Owned,Non-Veteran,,5,4/7/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $67,250 ", undisclosed , undisclosed ,BUTTE,MT,59701,488410,Corporation,Unanswered,Male Owned,Unanswered,,9,4/9/20,"Granite Mountain Bank, Inc.",MT - 00
"g $50,000-$100,000"," $67,200 ", undisclosed , undisclosed ,BUTTE,MT,59701,621111,Sole Proprietorship,White,Male Owned,Non-Veteran,,5,4/6/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $65,690 ", undisclosed , undisclosed ,BUTTE,MT,59701,444190,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,9,4/27/20,"First Montana Bank, Inc.",MT - 00
"g $50,000-$100,000"," $65,500 ", undisclosed , undisclosed ,BUTTE,MT,59701,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4/9/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $65,120 ", undisclosed , undisclosed ,BUTTE,MT,59701,423120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,4/27/20,Montana Community Development Corp.,MT - 00
"g $50,000-$100,000"," $63,500 ", undisclosed , undisclosed ,BUTTE,MT,59701,332710,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,4,4/5/20,"Granite Mountain Bank, Inc.",MT - 00
"g $50,000-$100,000"," $62,500 ", undisclosed , undisclosed ,BUTTE,MT,59701,522298,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,12,4/28/20,D. L. Evans Bank,MT - 00
"g $50,000-$100,000"," $62,500 ", undisclosed , undisclosed ,BUTTE,MT,59701,488119,Cooperative,White,Male Owned,Non-Veteran,,5,4/4/20,First Citizens Bank of Butte,MT - 00
"g $50,000-$100,000"," $62,500 ", undisclosed , undisclosed ,BUTTE,MT,59701,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,3,4/6/20,Opportunity Bank of Montana,MT - 00
"g $50,000-$100,000"," $62,500 ", undisclosed , undisclosed ,BUTTE,MT,59701,722513,Subchapter S Corporation,Unanswered,Female Owned,Non-Veteran,,0,5/3/20,Cross River Bank,MT - 00
