 LoanAmount ,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
" $115,100 ",SIDNEY,MT,59270,541219,Corporation,Unanswered,Unanswered,Unanswered,,8,5/5/20,First State Bank & Trust,MT - 00
" $115,100 ",BOZEMAN,MT,59715,441320,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,10,4/3/20,Stockman Bank of Montana,MT - 00
" $115,100 ",EMIGRANT,MT,59027,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,20,4/3/20,Stockman Bank of Montana,MT - 00
" $115,100 ",BILLINGS,MT,59106,236115,Subchapter S Corporation,White,Male Owned,Non-Veteran,,12,4/9/20,The Yellowstone Bank,MT - 00
" $115,000 ",BOZEMAN,MT,59715,333999,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,18,4/3/20,Stockman Bank of Montana,MT - 00
" $115,000 ",KALISPELL,MT,59901,238290,Corporation,White,Male Owned,Veteran,,15,4/6/20,Three Rivers Bank of Montana,MT - 00
" $115,000 ",HAMILTON,MT,59840,621340,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,4/7/20,Glacier Bank,MT - 00
" $115,000 ",GLASGOW,MT,59230,424810,Corporation,White,Male Owned,Non-Veteran,,18,4/7/20,First Community Bank,MT - 00
" $114,900 ",BILLINGS,MT,59101,441228,Subchapter S Corporation,White,Male Owned,Unanswered,,11,4/3/20,Stockman Bank of Montana,MT - 00
" $114,900 ",SHERIDAN,MT,59749,621210,Limited  Liability Company(LLC),White,Female Owned,Non-Veteran,,8,4/6/20,Opportunity Bank of Montana,MT - 00
" $114,700 ",BILLINGS,MT,59105,488510,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,9,4/3/20,Stockman Bank of Montana,MT - 00
" $114,700 ",KALISPELL,MT,59901,238220,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,10,4/4/20,TrailWest Bank,MT - 00
" $114,675 ",CLANCY,MT,59634,722511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,4/10/20,First Interstate Bank,MT - 00
" $114,600 ",BUTTE,MT,59701,541213,Corporation,Unanswered,Male Owned,Non-Veteran,,10,4/10/20,Glacier Bank,MT - 00
" $114,600 ",HELENA,MT,59601,111421,Corporation,Unanswered,Female Owned,Unanswered,,66,4/4/20,Glacier Bank,MT - 00
" $114,600 ",HAMILTON,MT,59840,488510,Corporation,Unanswered,Unanswered,Unanswered,,9,5/1/20,Glacier Bank,MT - 00
" $114,594 ",WILSALL,MT,59086,238910,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,8,4/13/20,First Interstate Bank,MT - 00
" $114,500 ",BOZEMAN,MT,59718,722511,Corporation,Unanswered,Unanswered,Unanswered,,10,4/12/20,Glacier Bank,MT - 00
" $114,500 ",BILLINGS,MT,59102,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,41,4/3/20,Stockman Bank of Montana,MT - 00
" $114,500 ",MISSOULA,MT,59801,713940,Corporation,Unanswered,Male Owned,Unanswered,,95,4/3/20,Glacier Bank,MT - 00
" $114,500 ",GREAT FALLS,MT,59401,722410,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,46,4/14/20,Stockman Bank of Montana,MT - 00
" $114,500 ",WHITEFISH,MT,59937,541320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4/15/20,Glacier Bank,MT - 00
" $114,400 ",BELGRADE,MT,59714,541320,Corporation,White,Male Owned,Non-Veteran,,13,4/4/20,Stockman Bank of Montana,MT - 00
" $114,400 ",BOZEMAN,MT,59715,541990,Partnership,Unanswered,Unanswered,Unanswered,,9,4/4/20,Glacier Bank,MT - 00
" $114,400 ",BUTTE,MT,59701,811111,Corporation,White,Male Owned,Non-Veteran,,10,4/6/20,"First Montana Bank, Inc.",MT - 00
" $114,328 ",BILLINGS,MT,59101,541211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,4/10/20,First Interstate Bank,MT - 00
" $114,300 ",BILLINGS,MT,59101,621210,Corporation,White,Male Owned,Non-Veteran,,11,4/3/20,Stockman Bank of Montana,MT - 00
" $114,208 ",HAMILTON,MT,59840,541611,Corporation,White,Male Owned,Non-Veteran,,11,4/28/20,"U.S. Bank, National Association",MT - 00
" $114,200 ",HELENA,MT,59601,453310,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,19,4/28/20,D. L. Evans Bank,MT - 00
" $114,200 ",MISSOULA,MT,59808,721110,Corporation,White,Female Owned,Non-Veteran,,18,4/3/20,Stockman Bank of Montana,MT - 00
" $114,200 ",GREAT FALLS,MT,59401,441310,Corporation,Unanswered,Unanswered,Unanswered,,16,4/8/20,Opportunity Bank of Montana,MT - 00
" $114,100 ",MISSOULA,MT,59802,621330,Corporation,White,Female Owned,Non-Veteran,,12,4/3/20,Stockman Bank of Montana,MT - 00
" $114,100 ",DILLON,MT,59725,238210,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,10,4/4/20,Stockman Bank of Montana,MT - 00
" $114,000 ",BOZEMAN,MT,59715,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,10,4/9/20,Glacier Bank,MT - 00
" $113,860 ",BILLINGS,MT,59101,493110,Subchapter S Corporation,White,Female Owned,Non-Veteran,,12,4/8/20,Opportunity Bank of Montana,MT - 00
" $113,860 ",BILLINGS,MT,59101,722410,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,17,5/1/20,First Interstate Bank,MT - 00
" $113,859 ",MILES CITY,MT,59301,424520,Partnership,Unanswered,Unanswered,Unanswered,,16,4/5/20,First Interstate Bank,MT - 00
" $113,800 ",BUTTE,MT,59701,611310,Corporation,Unanswered,Unanswered,Unanswered,,0,4/29/20,Glacier Bank,MT - 00
" $113,750 ",LIVINGSTON,MT,59047,488410,Corporation,White,Male Owned,Non-Veteran,,8,4/13/20,First Interstate Bank,MT - 00
" $113,750 ",FORSYTH,MT,59327,238210,Subchapter S Corporation,White,Male Owned,Unanswered,,6,4/8/20,First State Bank of Forsyth,MT - 00
" $113,684 ",MILES CITY,MT,59301,562119,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,4/8/20,Stockman Bank of Montana,MT - 00
" $113,600 ",SIDNEY,MT,59270,541330,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,8,4/27/20,The Yellowstone Bank,MT - 00
" $113,500 ",WHITEFISH,MT,59937,561520,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8,4/10/20,First Interstate Bank,MT - 00
" $113,500 ",MISSOULA,MT,59802,446120,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,23,4/3/20,Glacier Bank,MT - 00
" $113,500 ",MISSOULA,MT,59808,238990,Corporation,White,Male Owned,Non-Veteran,,12,4/3/20,"First Montana Bank, Inc.",MT - 00
" $113,400 ",BILLINGS,MT,59105,541618,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,4/6/20,Beartooth Bank,MT - 00
" $113,300 ",KALISPELL,MT,59901,721110,Limited  Liability Company(LLC),White,Unanswered,Non-Veteran,,17,4/13/20,Greater Nevada CU,MT - 00
" $113,298 ",HAVRE,MT,59501,811121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,4/7/20,Independence Bank,MT - 00
" $113,276 ",MILES CITY,MT,59301,541211,Corporation,Unanswered,Unanswered,Unanswered,,8,4/11/20,First Interstate Bank,MT - 00
" $113,247 ",JOLIET,MT,59041,115210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,4/11/20,First Interstate Bank,MT - 00
" $113,155 ",KALISPELL,MT,59901,813110,Non-Profit Organization,Unanswered,Female Owned,Non-Veteran,Y,72,4/10/20,Valley Bank of Kalispell,MT - 00
" $113,151 ",LIVINGSTON,MT,59047,722513,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,23,4/7/20,First Security Bank of Deer Lodge,MT - 00
" $113,150 ",BOZEMAN,MT,59715,561439,Corporation,White,Male Owned,Non-Veteran,,8,4/6/20,First Interstate Bank,MT - 00
" $113,118 ",HAVRE,MT,59501,611110,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,21,4/8/20,Independence Bank,MT - 00
" $113,100 ",GREAT FALLS,MT,59401,811111,Subchapter S Corporation,Unanswered,Unanswered,Non-Veteran,,17,4/3/20,Stockman Bank of Montana,MT - 00
" $113,100 ",BILLINGS,MT,59102,813110,Non-Profit Organization,Unanswered,Female Owned,Unanswered,Y,23,4/28/20,Glacier Bank,MT - 00
" $113,000 ",BOZEMAN,MT,59715,611110,Corporation,Unanswered,Male Owned,Non-Veteran,,21,4/10/20,The Yellowstone Bank,MT - 00
" $113,000 ",BILLINGS,MT,59102,621210,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,8,4/3/20,The Yellowstone Bank,MT - 00
" $113,000 ",BILLINGS,MT,59105,444130,Subchapter S Corporation,White,Male Owned,Non-Veteran,,11,4/3/20,Stockman Bank of Montana,MT - 00
" $113,000 ",MISSOULA,MT,59802,621340,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,8,4/3/20,Clearwater FCU,MT - 00
" $113,000 ",MISSOULA,MT,59808,722410,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,16,4/7/20,"First Montana Bank, Inc.",MT - 00
" $112,960 ",BLACK EAGLE,MT,59414,423830,Corporation,American Indian or Alaska Native,Male Owned,Non-Veteran,,14,4/10/20,First Interstate Bank,MT - 00
" $112,914 ",MISSOULA,MT,59802,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,15,4/11/20,First Interstate Bank,MT - 00
" $112,900 ",BELGRADE,MT,59714,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,4/12/20,First Interstate Bank,MT - 00
" $112,900 ",KALISPELL,MT,59901,561730,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,4/13/20,First Interstate Bank,MT - 00
" $112,900 ",BILLINGS,MT,59102,518210,Subchapter S Corporation,White,Male Owned,Non-Veteran,,7,4/3/20,The Yellowstone Bank,MT - 00
" $112,900 ",GALLATIN GATEWAY,MT,59730,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,4/15/20,Opportunity Bank of Montana,MT - 00
" $112,787 ",MILES CITY,MT,59301,451110,Corporation,Unanswered,Unanswered,Unanswered,,11,4/7/20,First Interstate Bank,MT - 00
" $112,700 ",MISSOULA,MT,59808,484220,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,11,4/27/20,Clearwater FCU,MT - 00
" $112,700 ",MISSOULA,MT,59808,333511,Corporation,Unanswered,Male Owned,Unanswered,,9,4/27/20,Glacier Bank,MT - 00
" $112,646 ",BROWNING,MT,59417,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,4/15/20,"Native American Bank, National Association",MT - 00
" $112,600 ",GREAT FALLS,MT,59404,812990,Corporation,White,Male Owned,Non-Veteran,,15,4/10/20,Stockman Bank of Montana,MT - 00
" $112,500 ",BELGRADE,MT,59714,561730,Subchapter S Corporation,White,Male Owned,Non-Veteran,,12,4/3/20,Stockman Bank of Montana,MT - 00
" $112,500 ",GREAT FALLS,MT,59403,541330,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,8,4/5/20,Opportunity Bank of Montana,MT - 00
" $112,500 ",MISSOULA,MT,59801,812112,Corporation,Unanswered,Male Owned,Non-Veteran,,12,4/9/20,First Interstate Bank,MT - 00
" $112,500 ",KALISPELL,MT,59901,713290,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,29,4/28/20,First Interstate Bank,MT - 00
" $112,500 ",KALISPELL,MT,59901,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,16,4/28/20,First Interstate Bank,MT - 00
" $112,409 ",THREE FORKS,MT,59752,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,5/3/20,"U.S. Bank, National Association",MT - 00
" $112,400 ",BILLINGS,MT,59102,722511,Subchapter S Corporation,White,Male Owned,Veteran,,26,4/6/20,Stockman Bank of Montana,MT - 00
" $112,300 ",WHITE SULPHUR SPRINGS,MT,59602,238210,Corporation,Unanswered,Male Owned,Non-Veteran,,8,4/8/20,Bank of the Rockies,MT - 00
" $112,250 ",BUTTE,MT,59701,722513,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,26,4/7/20,"Granite Mountain Bank, Inc.",MT - 00
" $112,200 ",BILLINGS,MT,59106,238220,Corporation,White,Male Owned,Non-Veteran,,13,4/3/20,Stockman Bank of Montana,MT - 00
" $112,200 ",HELENA,MT,59601,813110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,19,4/14/20,Glacier Bank,MT - 00
" $112,100 ",THREE FORKS,MT,59715,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,29,4/3/20,Glacier Bank,MT - 00
" $112,100 ",BILLINGS,MT,59101,453998,Subchapter S Corporation,White,Female Owned,Non-Veteran,,14,4/3/20,The Yellowstone Bank,MT - 00
" $112,091 ",POLSON,MT,59860,611110,Corporation,White,Female Owned,Non-Veteran,,8,4/10/20,First Interstate Bank,MT - 00
" $112,072 ",COLUMBIA FALLS,MT,59912,236118,Corporation,White,Male Owned,Unanswered,,10,4/10/20,First Interstate Bank,MT - 00
" $112,012 ",HELENA,MT,59601,515112,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,8,4/7/20,First Interstate Bank,MT - 00
" $111,987 ",MILES CITY,MT,59301,484121,Corporation,Unanswered,Unanswered,Unanswered,,14,4/11/20,First Interstate Bank,MT - 00
" $111,938 ",BOZEMAN,MT,59715,221114,Corporation,Unanswered,Male Owned,Unanswered,,13,4/9/20,Sky FCU,MT - 00
" $111,908 ",POPLAR,MT,59255,722511,Corporation,White,Female Owned,Non-Veteran,,22,4/15/20,Independence Bank,MT - 00
" $111,900 ",BELGRADE,MT,59714,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4/5/20,Glacier Bank,MT - 00
" $111,807 ",BOZEMAN,MT,59718,621111,Corporation,Unanswered,Male Owned,Unanswered,,10,4/7/20,Bank of Bozeman,MT - 00
" $111,800 ",KALISPELL,MT,59901,621111,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,14,4/6/20,TrailWest Bank,MT - 00
" $111,762 ",BOZEMAN,MT,59715,236115,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,4/8/20,First Interstate Bank,MT - 00
" $111,617 ",BILLINGS,MT,59101,541620,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4/15/20,First Interstate Bank,MT - 00
" $111,600 ",BILLINGS,MT,59102,623311,Subchapter S Corporation,White,Male Owned,Unanswered,,23,4/7/20,Stockman Bank of Montana,MT - 00
" $111,510 ",EAST HELENA,MT,59635,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,26,4/7/20,First Interstate Bank,MT - 00
" $111,500 ",BOZEMAN,MT,59715,721110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,4/12/20,First Interstate Bank,MT - 00
" $111,500 ",BILLINGS,MT,59105,238110,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,40,4/3/20,Stockman Bank of Montana,MT - 00
" $111,500 ",MISSOULA,MT,59801,511120,Corporation,Unanswered,Unanswered,Unanswered,,16,4/3/20,Glacier Bank,MT - 00
" $111,500 ",SIDNEY,MT,59270,722511,Non-Profit Organization,White,Male Owned,Non-Veteran,Y,13,4/3/20,Stockman Bank of Montana,MT - 00
" $111,442 ",BILLINGS,MT,59101,111421,Corporation,Unanswered,Unanswered,Unanswered,,10,4/8/20,Altana FCU,MT - 00
" $111,400 ",MISSOULA,MT,59801,541310,Subchapter S Corporation,White,Male Owned,Unanswered,,9,4/3/20,Glacier Bank,MT - 00
" $111,300 ",BOZEMAN,MT,59718,237110,Corporation,Unanswered,Unanswered,Unanswered,,9,4/7/20,Glacier Bank,MT - 00
" $111,297 ",WHITEFISH,MT,59937,236116,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,4/12/20,First Interstate Bank,MT - 00
" $111,200 ",BILLINGS,MT,59102,541211,Corporation,White,Female Owned,Non-Veteran,,8,4/3/20,Stockman Bank of Montana,MT - 00
" $111,200 ",ENNIS,MT,59729,722410,Corporation,White,Male Owned,Non-Veteran,,14,4/4/20,Madison Valley Bank,MT - 00
" $111,200 ",BOZEMAN,MT,59715,238220,Corporation,Unanswered,Male Owned,Unanswered,,9,4/4/20,Glacier Bank,MT - 00
" $111,200 ",BILLINGS,MT,59102,488510,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,4/8/20,Glacier Bank,MT - 00
" $111,200 ",MISSOULA,MT,59801,611710,Corporation,White,Male Owned,Non-Veteran,,5,4/9/20,Stockman Bank of Montana,MT - 00
" $111,125 ",BILLINGS,MT,59101,531390,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,4/10/20,First Interstate Bank,MT - 00
" $111,100 ",MISSOULA,MT,59802,722513,Corporation,Unanswered,Male Owned,Unanswered,,26,4/3/20,Glacier Bank,MT - 00
" $111,000 ",BILLINGS,MT,59102,524126,Subchapter S Corporation,White,Female Owned,Non-Veteran,,10,4/3/20,The Yellowstone Bank,MT - 00
" $111,000 ",MISSOULA,MT,59801,621210,Limited  Liability Company(LLC),Unanswered,Female Owned,Veteran,,9,4/7/20,Glacier Bank,MT - 00
" $111,000 ",MISSOULA,MT,59801,333511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,10,4/28/20,Glacier Bank,MT - 00
" $111,000 ",BOZEMAN,MT,59772,621340,Subchapter S Corporation,White,Female Owned,Non-Veteran,,12,4/28/20,Stockman Bank of Montana,MT - 00
" $110,957 ",BOZEMAN,MT,59715,561730,Limited  Liability Company(LLC),White,Female Owned,Unanswered,,12,4/8/20,Sky FCU,MT - 00
" $110,935 ",BOZEMAN,MT,59715,621112,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,8,5/3/20,"U.S. Bank, National Association",MT - 00
" $110,900 ",GREAT FALLS,MT,59405,454210,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,6,4/15/20,Stockman Bank of Montana,MT - 00
" $110,900 ",BILLINGS,MT,59101,721110,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,23,4/4/20,Stockman Bank of Montana,MT - 00
" $110,900 ",WHITEFISH,MT,59937,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/6/20,Glacier Bank,MT - 00
" $110,900 ",MISSOULA,MT,59808,238210,Corporation,Unanswered,Unanswered,Unanswered,,13,4/7/20,Clearwater FCU,MT - 00
" $110,868 ",BOZEMAN,MT,59715,541511,Subchapter S Corporation,White,Male Owned,Unanswered,,11,4/8/20,Sky FCU,MT - 00
" $110,822 ",CULBERTSON,MT,59218,213111,Corporation,Unanswered,Male Owned,Unanswered,,7,4/8/20,First Community Bank,MT - 00
" $110,800 ",HELENA,MT,59601,711310,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,8,4/4/20,Ascent Bank,MT - 00
" $110,775 ",BLACK EAGLE,MT,59414,484230,Corporation,Unanswered,Unanswered,Unanswered,,10,4/6/20,American Bank Center,MT - 00
" $110,710 ",GREAT FALLS,MT,59405,541219,Partnership,White,Male Owned,Non-Veteran,,10,4/7/20,Independence Bank,MT - 00
" $110,515 ",HELENA,MT,59601,624210,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,15,4/27/20,Stockman Bank of Montana,MT - 00
" $110,500 ",MISSOULA,MT,59801,541110,Subchapter S Corporation,White,Male Owned,Non-Veteran,,11,4/13/20,First Interstate Bank,MT - 00
" $110,500 ",GREAT FALLS,MT,59404,541330,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,7,4/6/20,Citizens Alliance Bank,MT - 00
" $110,438 ",BILLINGS,MT,59102,541219,Corporation,Unanswered,Unanswered,Unanswered,,21,4/8/20,First Interstate Bank,MT - 00
" $110,400 ",MISSOULA,MT,59801,236115,Corporation,Unanswered,Unanswered,Unanswered,,11,4/9/20,Glacier Bank,MT - 00
" $110,380 ",LAUREL,MT,59044,722513,Corporation,White,Male Owned,Unanswered,,17,4/28/20,Stockman Bank of Montana,MT - 00
" $110,350 ",BUTTE,MT,59701,238160,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4/27/20,"Granite Mountain Bank, Inc.",MT - 00
" $110,300 ",HELENA,MT,59601,722511,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,32,4/15/20,Stockman Bank of Montana,MT - 00
" $110,300 ",HELENA,MT,59601,621210,Corporation,Unanswered,Unanswered,Unanswered,,11,4/27/20,Glacier Bank,MT - 00
" $110,300 ",DILLON,MT,59725,112111,Corporation,White,Male Owned,Unanswered,,8,4/3/20,Stockman Bank of Montana,MT - 00
" $110,300 ",BIGFORK,MT,59911,722513,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,4/6/20,Glacier Bank,MT - 00
" $110,200 ",BILLINGS,MT,59102,238210,Corporation,White,Male Owned,Non-Veteran,,5,4/11/20,Glacier Bank,MT - 00
" $110,200 ",MISSOULA,MT,59808,531311,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,15,4/3/20,Stockman Bank of Montana,MT - 00
" $110,145 ",MISSOULA,MT,59801,446199,Corporation,Unanswered,Female Owned,Veteran,,11,5/3/20,"U.S. Bank, National Association",MT - 00
" $110,100 ",KALISPELL,MT,59901,721110,Limited Liability Partnership,Unanswered,Male Owned,Unanswered,,20,4/3/20,Farmers State Bank,MT - 00
" $110,100 ",HELENA,MT,59601,621210,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,16,4/4/20,Opportunity Bank of Montana,MT - 00
" $110,100 ",MISSOULA,MT,59802,541990,Corporation,Unanswered,Male Owned,Unanswered,,8,4/4/20,Farmers State Bank,MT - 00
" $110,092 ",HELENA,MT,59601,453220,Corporation,Unanswered,Unanswered,Unanswered,,4,4/8/20,First Interstate Bank,MT - 00
" $110,013 ",BILLINGS,MT,59101,334517,Corporation,Unanswered,Unanswered,Unanswered,,9,4/7/20,First Interstate Bank,MT - 00
" $110,000 ",BOZEMAN,MT,59715,541614,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,11,4/10/20,Glacier Bank,MT - 00
" $110,000 ",BOZEMAN,MT,59718,453910,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,18,4/10/20,Bank of Bozeman,MT - 00
" $110,000 ",STEVENSVILLE,MT,59870,722513,Sole Proprietorship,White,Male Owned,Unanswered,,42,4/27/20,Farmers State Bank,MT - 00
" $110,000 ",HELENA,MT,59601,621111,Corporation,White,Female Owned,Non-Veteran,,8,4/3/20,Ascent Bank,MT - 00
" $109,973 ",GREAT FALLS,MT,59404,327390,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,13,4/28/20,Celtic Bank Corporation,MT - 00
" $109,960 ",THREE FORKS,MT,59752,112111,Partnership,Unanswered,Unanswered,Unanswered,,10,4/14/20,Manhattan Bank,MT - 00
" $109,900 ",COLUMBIA FALLS,MT,59912,442210,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,12,4/16/20,First Interstate Bank,MT - 00
" $109,900 ",BILLINGS,MT,59101,332710,Subchapter S Corporation,White,Male Owned,Non-Veteran,,10,4/3/20,The Yellowstone Bank,MT - 00
" $109,900 ",ANACONDA,MT,59711,238910,Corporation,Unanswered,Unanswered,Unanswered,,0,4/9/20,Glacier Bank,MT - 00
" $109,800 ",BOZEMAN,MT,59715,424720,Corporation,White,Male Owned,Non-Veteran,,8,4/6/20,Glacier Bank,MT - 00
" $109,800 ",BOZEMAN,MT,59718,611630,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,7,4/14/20,Glacier Bank,MT - 00
" $109,800 ",BELGRADE,MT,59714,562991,Corporation,White,Female Owned,Non-Veteran,,12,4/7/20,Stockman Bank of Montana,MT - 00
" $109,789 ",POLSON,MT,59860,484220,Corporation,Unanswered,Unanswered,Unanswered,,13,4/7/20,First Interstate Bank,MT - 00
" $109,778 ",BOX ELDER,MT,59521,541990,Corporation,American Indian or Alaska Native,Female Owned,Unanswered,,6,5/3/20,"Native American Bank, National Association",MT - 00
" $109,700 ",VICTOR,MT,59875,423330,Corporation,Unanswered,Male Owned,Unanswered,,10,4/3/20,Farmers State Bank,MT - 00
" $109,700 ",BOZEMAN,MT,59715,721110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,21,4/13/20,Glacier Bank,MT - 00
" $109,700 ",MALTA,MT,59538,423310,Corporation,Unanswered,Unanswered,Unanswered,,10,4/9/20,"Bank of Bridger, National Association",MT - 00
" $109,687 ",BILLINGS,MT,59102,621210,Sole Proprietorship,White,Male Owned,Non-Veteran,,10,5/11/20,Stockman Bank of Montana,MT - 00
" $109,625 ",BILLINGS,MT,59106,311812,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,45,4/7/20,Altana FCU,MT - 00
" $109,500 ",KALISPELL,MT,59901,532289,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,15,4/5/20,Glacier Bank,MT - 00
" $109,500 ",MISSOULA,MT,59802,923110,Corporation,White,Male Owned,Non-Veteran,,21,4/6/20,TrailWest Bank,MT - 00
" $109,400 ",MISSOULA,MT,59802,722511,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,39,4/3/20,Glacier Bank,MT - 00
" $109,400 ",BOZEMAN,MT,59715,424330,Corporation,White,Male Owned,Veteran,,15,4/6/20,Stockman Bank of Montana,MT - 00
" $109,345 ",KALISPELL,MT,59601,541191,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,4/27/20,Fortis Private Bank,MT - 00
" $109,300 ",HELENA,MT,59601,811111,Partnership,Unanswered,Unanswered,Unanswered,,12,4/7/20,Glacier Bank,MT - 00
" $109,205 ",HELENA,MT,59602,451110,Corporation,White,Female Owned,Non-Veteran,,,4/7/20,First Interstate Bank,MT - 00
" $109,200 ",BOZEMAN,MT,59715,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,7,4/5/20,Opportunity Bank of Montana,MT - 00
" $109,100 ",HELENA,MT,59601,621340,Subchapter S Corporation,White,Male Owned,Non-Veteran,,13,4/10/20,Glacier Bank,MT - 00
" $109,100 ",KALISPELL,MT,59901,621340,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,4/5/20,Three Rivers Bank of Montana,MT - 00
" $109,078 ",BELGRADE,MT,59714,445310,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,16,4/7/20,Bank of Bozeman,MT - 00
" $109,000 ",KALISPELL,MT,59901,621610,Partnership,Unanswered,Female Owned,Unanswered,,16,4/3/20,Glacier Bank,MT - 00
" $109,000 ",BILLINGS,MT,59101,722513,Subchapter S Corporation,White,Male Owned,Veteran,,35,4/3/20,The Yellowstone Bank,MT - 00
" $108,900 ",BILLINGS,MT,59102,238210,Subchapter S Corporation,White,Male Owned,Unanswered,,9,4/6/20,Altana FCU,MT - 00
" $108,900 ",MISSOULA,MT,59808,423830,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,4/14/20,Glacier Bank,MT - 00
" $108,814 ",GREAT FALLS,MT,59401,621320,Corporation,Unanswered,Female Owned,Unanswered,,14,4/9/20,First Interstate Bank,MT - 00
" $108,800 ",BOZEMAN,MT,59715,621111,Corporation,Unanswered,Unanswered,Unanswered,,5,4/10/20,American Bank,MT - 00
" $108,700 ",KALISPELL,MT,59901,423850,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4/4/20,TrailWest Bank,MT - 00
